file,constellation,windows,mae_m,rmse_m,p50_m,p90_m
const1-trial1-tdoa3.csv,1,1243,1.8025,1.9791,2.0152,2.6224
const1-trial2-tdoa3.csv,1,1221,50.6326,1718.9334,1.3922,2.508
const1-trial3-tdoa3.csv,1,1227,24.9652,816.5923,1.7256,2.5969
const1-trial4-tdoa3.csv,1,1227,1.8234,2.0101,1.7185,2.9377
const1-trial5-tdoa3.csv,1,1228,125.0631,3260.8641,1.4978,2.4972
const1-trial6-tdoa3.csv,1,1234,1.7521,1.9284,1.7818,2.7566
const2-trial1-tdoa3.csv,2,1280,1.9779,2.2169,2.168,3.066
const2-trial2-tdoa3.csv,2,1239,75.2773,1856.3952,1.5868,2.855
const2-trial3-tdoa3.csv,2,1230,117.9344,2874.8231,2.0786,3.2029
const2-trial4-tdoa3.csv,2,1252,35.6184,1186.829,1.964,3.3697
const2-trial5-tdoa3.csv,2,1238,110.5301,3830.5977,1.6222,2.8996
const2-trial6-tdoa3.csv,2,1258,27.8295,915.4237,2.051,3.2141
const3-trial1-tdoa3.csv,3,1234,1.8804,2.1295,1.9634,3.0526
const3-trial2-tdoa3.csv,3,1046,1.7481,2.0254,1.639,3.0937
const3-trial3-tdoa3.csv,3,1020,2.0158,2.2362,2.0873,3.1952
const3-trial4-tdoa3.csv,3,1237,2.1241,2.3836,2.2963,3.6648
const3-trial5-tdoa3.csv,3,1243,1.5284,1.7352,1.482,2.6948
const3-trial6-tdoa3.csv,3,1235,1.9645,2.2145,1.9394,3.2629
